ts,platform,ms_played,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,reason_start,reason_end,shuffle,skipped,offline,incognito_mode
2024-03-09T04:19:34Z,android,158447,Alfaazo,Mitraz,Alfaazo,spotify:track:6KvXpACADAz73IPrCgXobL,,,,backbtn,trackdone,FALSE,FALSE,FALSE,FALSE
2024-03-09T04:22:13Z,android,159046,Raabta,Abdul Hannan,Raabta,spotify:track:2nBdQVqfV2RFTSdcGfKsi7,,,,trackdone,trackdone,FALSE,FALSE,FALSE,FALSE
2024-03-09T04:24:46Z,android,151640,Lalkara,Diljit Dosanjh,Ghost,spotify:track:2oenSXLDbWVaaL7QjSGYj5,,,,trackdone,fwdbtn,FALSE,TRUE,FALSE,FALSE
2024-03-09T04:24:49Z,android,3044,Waqt Ki Baatein,Dream Note,Waqt Ki Baatein,spotify:track:0cJTjTH3XVTTJh8F4Uq1db,,,,fwdbtn,fwdbtn,FALSE,TRUE,FALSE,FALSE
2024-03-09T04:24:50Z,android,686,Peechay Hutt,Hasan Raheem,Peechay Hutt,spotify:track:6ePcfMCQ7uUKwAamUiVtXL,,,,fwdbtn,fwdbtn,FALSE,TRUE,FALSE,FALSE
2024-03-09T04:24:51Z,android,195,Jo Tu Na Mila,Asim Azhar,Jo Tu Na Mila,spotify:track:6DefzsWqnwrFrmNVnJxWkS,,,,fwdbtn,fwdbtn,FALSE,TRUE,FALSE,FALSE
2024-03-09T04:24:52Z,android,0,Baarishein,Anuv Jain,Baarishein,spotify:track:3WLJ7D5kh44K5eJ1NqZQ6W,,,,fwdbtn,fwdbtn,FALSE,TRUE,FALSE,FALSE
2024-03-09T04:24:53Z,android,0,One Love,Shubh,One Love,spotify:track:5ZLkihi6DVsHwDL3B8ym1t,,,,fwdbtn,fwdbtn,FALSE,TRUE,FALSE,FALSE
2024-03-09T04:24:53Z,android,0,Siyah,Abdul Hannan,Siyah,spotify:track:6xFWVY7hS55qaF7fXBEw7X,,,,fwdbtn,fwdbtn,FALSE,TRUE,FALSE,FALSE
2024-03-09T04:24:54Z,android,0,Aisay Kaisay,Hasan Raheem,Aisay Kaisay,spotify:track:0mAswKg3RCbmXAV4KYTUxM,,,,fwdbtn,fwdbtn,FALSE,TRUE,FALSE,FALSE
2024-03-09T04:24:55Z,android,0,Pal Behta Jaaye,Vismay Patel,Pal Behta Jaaye,spotify:track:0fIbPMXnTdyuW2UirA9mWQ,,,,fwdbtn,fwdbtn,FALSE,TRUE,FALSE,FALSE
2024-03-09T04:24:55Z,android,0,Kasoor,Prateek Kuhad,Kasoor,spotify:track:08kTa3SL9sV6Iy8KLKtGql,,,,fwdbtn,fwdbtn,FALSE,TRUE,FALSE,FALSE
2024-03-09T04:24:57Z,android,0,Gawara,Abdul Hannan,Gawara,spotify:track:30SraUQbTd11TDrzkgeK4z,,,,fwdbtn,fwdbtn,FALSE,TRUE,FALSE,FALSE
2024-03-09T04:24:57Z,android,0,Malang Sajna,Sachet Tandon,Malang Sajna,spotify:track:73K33p4Vyz9koXGqmL5eFs,,,,fwdbtn,fwdbtn,FALSE,TRUE,FALSE,FALSE
2024-03-09T04:24:58Z,android,0,Kahani Suno 2.0,Kaifi Khalil,Kahani Suno 2.0,spotify:track:4VsP4Dm8gsibRxB5I2hEkw,,,,fwdbtn,fwdbtn,FALSE,TRUE,FALSE,FALSE
2024-03-09T04:24:59Z,android,0,Tu Jaana Na Piya,King,NEW LIFE,spotify:track:4u0D2jZ20wQaEMHBSqsDnZ,,,,fwdbtn,fwdbtn,FALSE,TRUE,FALSE,FALSE
2024-03-09T04:25:00Z,android,0,Kho Gaye,Taaruk Raina,Mismatched: Season 2 (Soundtrack from the Netflix Series),spotify:track:2QophXhN2Ls2URfoPmiviC,,,,fwdbtn,fwdbtn,FALSE,TRUE,FALSE,FALSE
2024-03-09T04:25:30Z,android,6000,Chaand Baaliyan,Aditya A,Chaand Baaliyan,spotify:track:0snQrp1VaY5Pj1YIHRJpRJ,,,,fwdbtn,endplay,FALSE,TRUE,FALSE,FALSE
2024-03-09T04:25:34Z,android,4018,illicit affairs,Taylor Swift,folklore,spotify:track:2NmsngXHeC1GQ9wWrzhOMf,,,,clickrow,endplay,FALSE,TRUE,FALSE,FALSE
2024-03-09T04:29:14Z,android,218780,Ghuroor,Izzchughtai,Ghuroor,spotify:track:7jMjMcyt3qxEkbC0s8LJQf,,,,clickrow,trackdone,FALSE,FALSE,FALSE,FALSE
2024-03-09T07:47:17Z,android,221380,Faltu Pyar,Hasan Raheem,Faltu Pyar,spotify:track:1yFryDjhXXIIaJA1dKqrab,,,,appload,trackdone,FALSE,FALSE,FALSE,FALSE
2024-03-09T07:50:57Z,android,218400,Wishes,Hasan Raheem,"Maybe, It's Love",spotify:track:5rpCUsEfBLIumvrxrahnKF,,,,trackdone,trackdone,FALSE,FALSE,FALSE,FALSE
2024-03-09T07:53:41Z,android,163300,Pretty Lies,Annural Khalid,Pretty Lies,spotify:track:0pvlhF2kQRKGxKqsiUMJwI,,,,trackdone,endplay,FALSE,TRUE,FALSE,FALSE
2024-03-09T07:55:47Z,android,480,willow,Taylor Swift,evermore,spotify:track:2gVhfX2Gy1T9kDuS9azrF7,,,,clickrow,endplay,FALSE,TRUE,FALSE,FALSE
2024-03-09T07:59:52Z,android,244000,champagne problems,Taylor Swift,evermore,spotify:track:1gcyHQpBQ1lfXGdhZmWrHP,,,,clickrow,trackdone,FALSE,FALSE,FALSE,FALSE
2024-03-09T08:02:57Z,android,185320,gold rush,Taylor Swift,evermore,spotify:track:3Dby3p1m6IOZn2gIIqECgK,,,,trackdone,trackdone,FALSE,FALSE,FALSE,FALSE
2024-03-09T08:06:47Z,android,229840,â€˜tis the damn season,Taylor Swift,evermore,spotify:track:6sQckd3Z8NPxVVKUnavY1F,,,,trackdone,trackdone,FALSE,FALSE,FALSE,FALSE
2024-03-09T08:10:53Z,android,245440,tolerate it,Taylor Swift,evermore,spotify:track:6lCvK2AR2uOKkVFCVlAzzm,,,,trackdone,trackdone,FALSE,FALSE,FALSE,FALSE
2024-03-09T08:11:03Z,android,10028,"no body, no crime (feat. HAIM)",Taylor Swift,evermore,spotify:track:6uwfVkaOM1mcMkFmSn35ix,,,,trackdone,endplay,FALSE,TRUE,FALSE,FALSE
2024-03-09T08:15:26Z,android,260440,ivy,Taylor Swift,evermore,spotify:track:43Ykum9T72UOPhBN31grpN,,,,clickrow,trackdone,FALSE,FALSE,FALSE,FALSE
2024-03-09T08:20:01Z,android,275040,cowboy like me,Taylor Swift,evermore,spotify:track:52OkpDsU6MmPx1AwGOb6Ap,,,,trackdone,trackdone,FALSE,FALSE,FALSE,FALSE
2024-03-09T08:23:37Z,android,215920,long story short,Taylor Swift,evermore,spotify:track:5VYWxXUpxuxEmCqMLDqICo,,,,trackdone,trackdone,FALSE,FALSE,FALSE,FALSE
2024-03-09T08:24:59Z,android,23720,marjorie,Taylor Swift,evermore,spotify:track:5uICWmZTLkpEVbK22PBP6e,,,,trackdone,endplay,FALSE,TRUE,FALSE,FALSE
2024-03-09T08:29:37Z,android,277591,Mr. Perfectly Fine (Taylorâ€™s Version) (From The Vault),Taylor Swift,Fearless (Taylor's Version),spotify:track:2CYVETnhM9aytqrazYYwrK,,,,clickrow,trackdone,FALSE,FALSE,FALSE,FALSE
2024-03-09T08:33:40Z,android,243136,The Way I Loved You (Taylorâ€™s Version),Taylor Swift,Fearless (Taylor's Version),spotify:track:22bPsP2jCgbLUvh82U0Z3M,,,,trackdone,trackdone,FALSE,FALSE,FALSE,FALSE
2024-03-09T08:38:02Z,android,261842,Youâ€™re Not Sorry (Taylorâ€™s Version),Taylor Swift,Fearless (Taylor's Version),spotify:track:6iiAfo4wTA2CVC3Uwx9uh8,,,,trackdone,trackdone,FALSE,FALSE,FALSE,FALSE
2024-03-09T08:41:58Z,android,234515,White Horse (Taylorâ€™s Version),Taylor Swift,Fearless (Taylor's Version),spotify:track:5YL553x8sHderRBDlm3NM3,,,,trackdone,trackdone,FALSE,FALSE,FALSE,FALSE
2024-03-09T08:42:21Z,android,22622,We Were Happy (Taylorâ€™s Version) (From The Vault),Taylor Swift,Fearless (Taylor's Version),spotify:track:34V9RiEPe8MNdU32qJsJa1,,,,trackdone,endplay,FALSE,TRUE,FALSE,FALSE
2024-03-09T08:46:08Z,android,225328,Forever & Always (Taylorâ€™s Version),Taylor Swift,Fearless (Taylor's Version),spotify:track:1msEuwSBneBKpVCZQcFTsU,,,,clickrow,trackdone,FALSE,FALSE,FALSE,FALSE
2024-03-09T08:48:06Z,android,117862,The Best Day (Taylorâ€™s Version),Taylor Swift,Fearless (Taylor's Version),spotify:track:6ON9UuIq49xXY9GPmHIYRp,,,,trackdone,endplay,FALSE,TRUE,FALSE,FALSE
2024-03-09T08:51:50Z,android,223333,Come Back...Be Here (Taylor's Version),Taylor Swift,Red (Taylor's Version),spotify:track:4pNApnaUWAL2J4KO2eqokq,,,,clickrow,trackdone,FALSE,FALSE,FALSE,FALSE
2024-03-09T08:55:51Z,android,240466,The Lucky One (Taylor's Version),Taylor Swift,Red (Taylor's Version),spotify:track:4e5ayHsOLJNLTGfjau2mEw,,,,trackdone,trackdone,FALSE,FALSE,FALSE,FALSE
2024-03-09T08:59:50Z,android,238866,Begin Again (Taylor's Version),Taylor Swift,Red (Taylor's Version),spotify:track:05GsNucq8Bngd9fnd4fRa0,,,,trackdone,trackdone,FALSE,FALSE,FALSE,FALSE
2024-03-09T08:59:53Z,android,1671,Girl At Home (Taylor's Version),Taylor Swift,Red (Taylor's Version),spotify:track:0DMVrlMUn01M0IcpDbwgu7,,,,trackdone,endplay,FALSE,TRUE,FALSE,FALSE
2024-03-09T09:03:31Z,android,218400,Wishes,Hasan Raheem,"Maybe, It's Love",spotify:track:5rpCUsEfBLIumvrxrahnKF,,,,clickrow,endplay,FALSE,TRUE,FALSE,FALSE
2024-03-09T09:05:45Z,android,133305,Iraaday,Rovalio,Iraaday,spotify:track:6qrifdo7QINdPQr80IelGi,,,,trackdone,trackdone,FALSE,FALSE,FALSE,FALSE
2024-03-09T09:08:47Z,android,182222,Zaalima,Abdul Hannan,Zaalima,spotify:track:0U8xGuKNtRz2PWVGaLjJ8V,,,,trackdone,trackdone,FALSE,FALSE,FALSE,FALSE
2024-03-09T09:09:06Z,android,16754,Joona,Hasan Raheem,Joona,spotify:track:18twglRl0wFIIMtFOy2CHs,,,,trackdone,unexpected-exit-while-paused,FALSE,FALSE,FALSE,FALSE
2024-03-09T14:27:59Z,android,17790,Zaalima,Abdul Hannan,Zaalima,spotify:track:0U8xGuKNtRz2PWVGaLjJ8V,,,,clickrow,endplay,FALSE,TRUE,FALSE,FALSE
2024-03-09T14:31:51Z,android,179381,Zaalima,Abdul Hannan,Zaalima,spotify:track:0U8xGuKNtRz2PWVGaLjJ8V,,,,playbtn,unexpected-exit-while-paused,FALSE,FALSE,FALSE,FALSE
2024-03-09T17:17:04Z,android,218400,Wishes,Hasan Raheem,"Maybe, It's Love",spotify:track:5rpCUsEfBLIumvrxrahnKF,,,,clickrow,endplay,FALSE,TRUE,FALSE,FALSE
2024-03-10T05:21:15Z,android,245440,tolerate it,Taylor Swift,evermore,spotify:track:6lCvK2AR2uOKkVFCVlAzzm,,,,clickrow,trackdone,FALSE,FALSE,FALSE,FALSE
2024-03-10T05:25:19Z,android,244000,champagne problems,Taylor Swift,evermore,spotify:track:1gcyHQpBQ1lfXGdhZmWrHP,,,,trackdone,trackdone,FALSE,FALSE,FALSE,FALSE
2024-03-10T05:28:58Z,android,218400,Wishes,Hasan Raheem,"Maybe, It's Love",spotify:track:5rpCUsEfBLIumvrxrahnKF,,,,trackdone,trackdone,FALSE,FALSE,FALSE,FALSE
2024-03-10T05:32:09Z,android,190898,illicit affairs,Taylor Swift,folklore,spotify:track:2NmsngXHeC1GQ9wWrzhOMf,,,,trackdone,trackdone,FALSE,FALSE,FALSE,FALSE
2024-03-10T05:35:55Z,android,225194,Dear Reader,Taylor Swift,Midnights,spotify:track:10GRRCR5fctuOF4GFmATJI,,,,trackdone,trackdone,FALSE,FALSE,FALSE,FALSE
2024-03-10T05:40:24Z,android,267773,The Alcott (feat. Taylor Swift),The National,First Two Pages of Frankenstein,spotify:track:6INztpNwOTlfSKTuPo0HOP,,,,trackdone,trackdone,FALSE,FALSE,FALSE,FALSE
2024-03-10T05:44:02Z,android,217894,Husn,Anuv Jain,Husn,spotify:track:0TL0LFcwIBF5eX7arDIKxY,,,,trackdone,trackdone,FALSE,FALSE,FALSE,FALSE
2024-03-10T05:48:45Z,android,282759,ÃœzÃ¼lmedin mi?,Simge,ÃœzÃ¼lmedin mi?,spotify:track:7uW8hyxOqF8LUQPqsbt4oj,,,,trackdone,trackdone,FALSE,FALSE,FALSE,FALSE
2024-03-10T05:53:59Z,android,265964,YankÄ±,Simge,YankÄ±,spotify:track:4y3QBJf9E8yDJCEFbRK8xk,,,,trackdone,trackdone,FALSE,FALSE,FALSE,FALSE
2024-03-10T05:57:50Z,android,229840,â€˜tis the damn season,Taylor Swift,evermore,spotify:track:6sQckd3Z8NPxVVKUnavY1F,,,,trackdone,trackdone,FALSE,FALSE,FALSE,FALSE
2024-03-10T05:59:03Z,android,68754,Humsafar,QB,Humsafar (2011),spotify:track:3gBwuyMuSVK9ubjEhoNooA,,,,trackdone,endplay,FALSE,TRUE,FALSE,FALSE
2024-03-10T06:04:21Z,android,265964,YankÄ±,Simge,YankÄ±,spotify:track:4y3QBJf9E8yDJCEFbRK8xk,,,,clickrow,trackdone,FALSE,FALSE,FALSE,FALSE
2024-03-10T06:04:45Z,android,23010,Mujhe Tum Nazar Se Gira To Rahe Ho,Mehdi Hassan,"The Definitive Collection, Vol. 1",spotify:track:3zszTKvI0ru0LzQ3lu99yO,,,,trackdone,fwdbtn,FALSE,TRUE,FALSE,FALSE
2024-03-10T06:09:17Z,android,272986,Beparwah,Momina Mustehsan,Beparwah,spotify:track:1BkYDk1hrLKkPi10OVSrhR,,,,fwdbtn,trackdone,FALSE,FALSE,FALSE,FALSE
2024-03-10T06:13:26Z,android,247962,Labyrinth,Taylor Swift,Midnights,spotify:track:4bBDkw2KBMX0tcgAaXC83Q,,,,trackdone,endplay,FALSE,TRUE,FALSE,FALSE
2024-03-10T06:18:08Z,android,265964,YankÄ±,Simge,YankÄ±,spotify:track:4y3QBJf9E8yDJCEFbRK8xk,,,,trackdone,trackdone,FALSE,FALSE,FALSE,FALSE
2024-03-10T06:18:21Z,android,12277,Prens & Prenses,Simge,Prens & Prenses,spotify:track:7qaYUy09Lnf5MAxLLMj1fO,,,,trackdone,endplay,FALSE,TRUE,FALSE,FALSE
2024-03-10T06:21:32Z,android,190898,illicit affairs,Taylor Swift,folklore,spotify:track:2NmsngXHeC1GQ9wWrzhOMf,,,,clickrow,trackdone,FALSE,FALSE,FALSE,FALSE
2024-03-10T06:24:51Z,android,198533,Death By A Thousand Cuts,Taylor Swift,Lover,spotify:track:2dgFqt3w9xIQRjhPtwNk3D,,,,trackdone,endplay,FALSE,TRUE,FALSE,FALSE
2024-03-10T06:28:42Z,android,83510,London Boy,Taylor Swift,Lover,spotify:track:1LLXZFeAHK9R4xUramtUKw,,,,clickrow,endplay,FALSE,TRUE,FALSE,FALSE
2024-03-10T06:28:48Z,android,2120,Salvatore,Lana Del Rey,Honeymoon,spotify:track:21qg0IBZf8R12qHd9A3AA4,,,,clickrow,fwdbtn,FALSE,TRUE,FALSE,FALSE
2024-03-10T06:28:50Z,android,1001,Come Back...Be Here (Taylor's Version),Taylor Swift,Red (Taylor's Version),spotify:track:4pNApnaUWAL2J4KO2eqokq,,,,fwdbtn,unexpected-exit,FALSE,FALSE,FALSE,FALSE
2024-03-10T06:33:10Z,android,220370,Come Back...Be Here (Taylor's Version),Taylor Swift,Red (Taylor's Version),spotify:track:4pNApnaUWAL2J4KO2eqokq,,,,appload,trackdone,FALSE,FALSE,FALSE,FALSE
2024-03-10T06:36:44Z,android,213750,Jaanu Na,Abdul Hannan,Jaanu Na,spotify:track:1UVxtRC9AdzpvHH6IJ1DDw,,,,trackdone,trackdone,FALSE,FALSE,FALSE,FALSE
2024-03-10T06:39:45Z,android,180002,High By The Beach,Lana Del Rey,Honeymoon,spotify:track:7g3htkaLz4ETFn0cifwM3y,,,,trackdone,unexpected-exit,FALSE,FALSE,FALSE,FALSE
2024-03-11T12:34:28Z,android,5858,Death By A Thousand Cuts,Taylor Swift,Lover,spotify:track:2dgFqt3w9xIQRjhPtwNk3D,,,,clickrow,endplay,FALSE,TRUE,FALSE,FALSE
2024-03-11T12:37:40Z,android,190360,The Man,Taylor Swift,Lover,spotify:track:3RauEVgRgj1IuWdJ9fDs70,,,,clickrow,trackdone,FALSE,FALSE,FALSE,FALSE
2024-03-11T12:39:44Z,android,50093,The Archer,Taylor Swift,Lover,spotify:track:3pHkh7d0lzM2AldUtz2x37,,,,trackdone,endplay,FALSE,TRUE,FALSE,FALSE
2024-03-11T12:39:56Z,android,7630,Death By A Thousand Cuts,Taylor Swift,Lover,spotify:track:2dgFqt3w9xIQRjhPtwNk3D,,,,clickrow,endplay,FALSE,TRUE,FALSE,FALSE
2024-03-11T12:40:00Z,android,3395,Afterglow,Taylor Swift,Lover,spotify:track:1SymEzIT3H8UZfibCs3TYi,,,,clickrow,endplay,FALSE,TRUE,FALSE,FALSE
2024-03-11T12:43:14Z,android,193000,ME! (feat. Brendon Urie of Panic! At The Disco),Taylor Swift,Lover,spotify:track:2Rk4JlNc2TPmZe2af99d45,,,,clickrow,trackdone,FALSE,FALSE,FALSE,FALSE
2024-03-11T12:43:28Z,android,13420,Itâ€™s Nice To Have A Friend,Taylor Swift,Lover,spotify:track:1SmiQ65iSAbPto6gPFlBYm,,,,trackdone,endplay,FALSE,TRUE,FALSE,FALSE
2024-03-11T12:47:33Z,android,244826,End Game,Taylor Swift,reputation,spotify:track:2x0WlnmfG39ZuDmstl9xfX,,,,clickrow,trackdone,FALSE,FALSE,FALSE,FALSE
2024-03-11T12:51:31Z,android,238253,I Did Something Bad,Taylor Swift,reputation,spotify:track:4svZDCRz4cJoneBpjpx8DJ,,,,trackdone,trackdone,FALSE,FALSE,FALSE,FALSE
2024-03-11T12:55:59Z,android,236413,Donâ€™t Blame Me,Taylor Swift,reputation,spotify:track:1R0a2iXumgCiFb7HEZ7gUE,,,,trackdone,trackdone,FALSE,FALSE,FALSE,FALSE
2024-03-11T12:58:01Z,android,22426,Delicate,Taylor Swift,reputation,spotify:track:6NFyWDv5CjfwuzoCkw47Xf,,,,trackdone,endplay,FALSE,TRUE,FALSE,FALSE
2024-03-11T13:00:10Z,android,54601,I Did Something Bad,Taylor Swift,reputation,spotify:track:4svZDCRz4cJoneBpjpx8DJ,,,,clickrow,endplay,FALSE,TRUE,FALSE,FALSE
2024-03-11T13:00:14Z,android,4051,Donâ€™t Blame Me,Taylor Swift,reputation,spotify:track:1R0a2iXumgCiFb7HEZ7gUE,,,,clickrow,endplay,FALSE,TRUE,FALSE,FALSE
2024-03-11T13:04:22Z,android,2760,King Of My Heart,Taylor Swift,reputation,spotify:track:7HuBDWi18s4aJM8UFnNheH,,,,clickrow,endplay,FALSE,TRUE,FALSE,FALSE
2024-03-11T13:04:40Z,android,560,Dancing With Our Hands Tied,Taylor Swift,reputation,spotify:track:7I7JbDv63ZJJsSi24DyJrz,,,,clickrow,endplay,FALSE,TRUE,FALSE,FALSE
2024-03-11T13:04:42Z,android,560,So It Goes...,Taylor Swift,reputation,spotify:track:5PxFv9yJEg9dxvbZggykro,,,,clickrow,endplay,FALSE,TRUE,FALSE,FALSE
2024-03-11T13:04:56Z,android,12280,So It Goes...,Taylor Swift,reputation,spotify:track:5PxFv9yJEg9dxvbZggykro,,,,clickrow,endplay,FALSE,TRUE,FALSE,FALSE
2024-03-11T13:04:58Z,android,1054,Lover,Taylor Swift,Lover,spotify:track:1dGr1c8CrMLDpV6mPbImSI,,,,clickrow,endplay,FALSE,TRUE,FALSE,FALSE
